"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"pcg_177","Biens et prestations de services échangés entre établissements (produits)","177","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_185","Écarts de conversion","185","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_188","Autres","188","account.data_account_type_equity","l10n_tn.tn_chart_template","False"
"pcg_211","Investissements de recherche et de développement","211","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_212","Concessions de marques, brevets, licences, marques, procédés et valeurs similaires","212","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_213","Logiciels","213","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_214","Fonds commercial","214","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_216","Droit au bail","216","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_218","Autres immobilisations incorporelles","218","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2213","Terrains nus","2213","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2214","Terrains aménagés","2214","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2215","Terrains bâtis","2215","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2216","Agencements et aménagements des terrains","2216","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2221","Bâtiments","2221","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2225","Installations générales, agencements et aménagements des constructions","2225","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2226","Ouvrages d'infrastructure","2226","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2227","Constructions sur sol d'autrui","2227","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2231","Installations techniques","2231","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2234","Matériel industriel","2234","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2235","Outillage industriel","2235","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2237","Agencements et aménagements du matériel et outillage industriels","2237","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2241","Matériel de transport de biens","2241","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2244","Matériel de transport de personnes","2244","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2281","Installations générales, agencements et aménagements divers","2281","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2282","Équipement de bureau","2282","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2286","Emballages récupérables identifiables","2286","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_231","Immobilisations incorporelles en cours","231","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_232","Immobilisations corporelles en cours","232","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_237","Avances et acomptes versés sur immobilisations incorporelles","237","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_238","Avances et acomptes versés sur commandes d'immobilisations corporelles","238","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_24","Immobilisations à statut juridique particulier","24","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2511","Actions","2511","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2518","Autres titres","2518","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_256","Autres formes de participation","256","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2571","Créances rattachées à des participations (groupe)","2571","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2574","Créances rattachées à des participations (hors groupe)","2574","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2575","Versements représentatifs d'apports non capitalisés (appel de fonds)","2575","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2576","Avances consolidables","2576","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
"pcg_2577","Autres créances rattachées à des participations","2577","account.data_account_type_fixed_assets","l10n_tn.tn_chart_template","False"
